start,n_bookings,n_rentals,timestamp
2016-12-10 00:00:00,172,198,1481328000.0
2016-12-10 06:00:00,272,327,1481349600.0
2016-12-10 12:00:00,111,168,1481371200.0
2016-12-10 18:00:00,337,387,1481392800.0
2016-12-11 00:00:00,458,541,1481414400.0
2016-12-11 06:00:00,129,165,1481436000.0
2016-12-11 12:00:00,305,378,1481457600.0
2016-12-11 18:00:00,575,760,1481479200.0
2016-12-12 00:00:00,147,205,1481500800.0
2016-12-12 06:00:00,510,612,1481522400.0
2016-12-12 12:00:00,640,824,1481544000.0
2016-12-12 18:00:00,581,681,1481565600.0
2016-12-13 00:00:00,113,133,1481587200.0
2016-12-13 06:00:00,559,776,1481608800.0
2016-12-13 12:00:00,699,875,1481630400.0
2016-12-13 18:00:00,625,749,1481652000.0
2016-12-14 00:00:00,114,130,1481673600.0
2016-12-14 06:00:00,638,878,1481695200.0
2016-12-14 12:00:00,707,907,1481716800.0
2016-12-14 18:00:00,703,824,1481738400.0
2016-12-15 00:00:00,154,262,1481760000.0
2016-12-15 06:00:00,614,778,1481781600.0
2016-12-15 12:00:00,736,879,1481803200.0
2016-12-15 18:00:00,701,838,1481824800.0
2016-12-16 00:00:00,160,195,1481846400.0
2016-12-16 06:00:00,670,808,1481868000.0
2016-12-16 12:00:00,780,907,1481889600.0
2016-12-16 18:00:00,922,1145,1481911200.0
2016-12-17 00:00:00,298,378,1481932800.0
2016-12-17 06:00:00,396,477,1481954400.0
2016-12-17 12:00:00,663,777,1481976000.0
2016-12-17 18:00:00,552,696,1481997600.0
2016-12-18 00:00:00,231,283,1482019200.0
2016-12-18 06:00:00,268,340,1482040800.0
2016-12-18 12:00:00,497,605,1482062400.0
2016-12-18 18:00:00,435,584,1482084000.0
2016-12-19 00:00:00,103,125,1482105600.0
2016-12-19 06:00:00,617,777,1482127200.0
2016-12-19 12:00:00,64,138,1482148800.0
2016-12-19 18:00:00,0,0,1482170400.0
2016-12-20 00:00:00,0,0,1482192000.0
2016-12-20 06:00:00,191,217,1482213600.0
2016-12-20 12:00:00,925,1108,1482235200.0
2016-12-20 18:00:00,708,883,1482256800.0
2016-12-21 00:00:00,155,196,1482278400.0
2016-12-21 06:00:00,722,870,1482300000.0
2016-12-21 12:00:00,830,994,1482321600.0
2016-12-21 18:00:00,647,777,1482343200.0
2016-12-22 00:00:00,138,160,1482364800.0
2016-12-22 06:00:00,612,753,1482386400.0
2016-12-22 12:00:00,826,966,1482408000.0
2016-12-22 18:00:00,590,716,1482429600.0
2016-12-23 00:00:00,176,218,1482451200.0
2016-12-23 06:00:00,597,710,1482472800.0
2016-12-23 12:00:00,749,902,1482494400.0
2016-12-23 18:00:00,520,624,1482516000.0
2016-12-24 00:00:00,179,233,1482537600.0
2016-12-24 06:00:00,321,381,1482559200.0
2016-12-24 12:00:00,499,593,1482580800.0
2016-12-24 18:00:00,277,349,1482602400.0
2016-12-25 00:00:00,115,151,1482624000.0
2016-12-25 06:00:00,130,155,1482645600.0
2016-12-25 12:00:00,249,308,1482667200.0
2016-12-25 18:00:00,253,298,1482688800.0
2016-12-26 00:00:00,81,101,1482710400.0
2016-12-26 06:00:00,133,157,1482732000.0
2016-12-26 12:00:00,270,316,1482753600.0
2016-12-26 18:00:00,255,298,1482775200.0
2016-12-27 00:00:00,69,86,1482796800.0
2016-12-27 06:00:00,347,411,1482818400.0
2016-12-27 12:00:00,465,831,1482840000.0
2016-12-27 18:00:00,410,493,1482861600.0
