start,n_bookings,n_rentals,timestamp
2016-12-10 00:00:00,323,362,1481328000.0
2016-12-10 06:00:00,306,349,1481349600.0
2016-12-10 12:00:00,123,193,1481371200.0
2016-12-10 18:00:00,509,580,1481392800.0
2016-12-11 00:00:00,608,733,1481414400.0
2016-12-11 06:00:00,257,313,1481436000.0
2016-12-11 12:00:00,356,425,1481457600.0
2016-12-11 18:00:00,764,967,1481479200.0
2016-12-12 00:00:00,240,281,1481500800.0
2016-12-12 06:00:00,478,561,1481522400.0
2016-12-12 12:00:00,558,647,1481544000.0
2016-12-12 18:00:00,577,657,1481565600.0
2016-12-13 00:00:00,129,146,1481587200.0
2016-12-13 06:00:00,491,567,1481608800.0
2016-12-13 12:00:00,607,713,1481630400.0
2016-12-13 18:00:00,642,732,1481652000.0
2016-12-14 00:00:00,161,181,1481673600.0
2016-12-14 06:00:00,572,662,1481695200.0
2016-12-14 12:00:00,661,781,1481716800.0
2016-12-14 18:00:00,754,863,1481738400.0
2016-12-15 00:00:00,203,244,1481760000.0
2016-12-15 06:00:00,601,667,1481781600.0
2016-12-15 12:00:00,671,740,1481803200.0
2016-12-15 18:00:00,684,769,1481824800.0
2016-12-16 00:00:00,248,294,1481846400.0
2016-12-16 06:00:00,577,647,1481868000.0
2016-12-16 12:00:00,696,783,1481889600.0
2016-12-16 18:00:00,843,962,1481911200.0
2016-12-17 00:00:00,419,480,1481932800.0
2016-12-17 06:00:00,409,482,1481954400.0
2016-12-17 12:00:00,601,684,1481976000.0
2016-12-17 18:00:00,560,658,1481997600.0
2016-12-18 00:00:00,360,430,1482019200.0
2016-12-18 06:00:00,307,357,1482040800.0
2016-12-18 12:00:00,573,667,1482062400.0
2016-12-18 18:00:00,543,620,1482084000.0
2016-12-19 00:00:00,186,201,1482105600.0
2016-12-19 06:00:00,513,606,1482127200.0
2016-12-19 12:00:00,74,133,1482148800.0
2016-12-19 18:00:00,0,0,1482170400.0
2016-12-20 00:00:00,0,0,1482192000.0
2016-12-20 06:00:00,131,149,1482213600.0
2016-12-20 12:00:00,606,704,1482235200.0
2016-12-20 18:00:00,608,706,1482256800.0
2016-12-21 00:00:00,194,237,1482278400.0
2016-12-21 06:00:00,547,632,1482300000.0
2016-12-21 12:00:00,637,711,1482321600.0
2016-12-21 18:00:00,553,642,1482343200.0
2016-12-22 00:00:00,189,221,1482364800.0
2016-12-22 06:00:00,488,556,1482386400.0
2016-12-22 12:00:00,569,645,1482408000.0
2016-12-22 18:00:00,580,667,1482429600.0
2016-12-23 00:00:00,165,212,1482451200.0
2016-12-23 06:00:00,494,544,1482472800.0
2016-12-23 12:00:00,590,679,1482494400.0
2016-12-23 18:00:00,537,628,1482516000.0
2016-12-24 00:00:00,201,240,1482537600.0
2016-12-24 06:00:00,331,377,1482559200.0
2016-12-24 12:00:00,486,573,1482580800.0
2016-12-24 18:00:00,337,395,1482602400.0
2016-12-25 00:00:00,163,195,1482624000.0
2016-12-25 06:00:00,189,217,1482645600.0
2016-12-25 12:00:00,345,393,1482667200.0
2016-12-25 18:00:00,379,431,1482688800.0
2016-12-26 00:00:00,163,191,1482710400.0
2016-12-26 06:00:00,151,173,1482732000.0
2016-12-26 12:00:00,357,408,1482753600.0
2016-12-26 18:00:00,341,378,1482775200.0
2016-12-27 00:00:00,91,100,1482796800.0
2016-12-27 06:00:00,333,366,1482818400.0
2016-12-27 12:00:00,451,497,1482840000.0
2016-12-27 18:00:00,344,390,1482861600.0
2016-12-28 00:00:00,94,111,1482883200.0
2016-12-28 06:00:00,311,331,1482904800.0
2016-12-28 12:00:00,466,518,1482926400.0
2016-12-28 18:00:00,414,469,1482948000.0
2016-12-29 00:00:00,94,114,1482969600.0
2016-12-29 06:00:00,330,357,1482991200.0
2016-12-29 12:00:00,448,505,1483012800.0
2016-12-29 18:00:00,405,451,1483034400.0
2016-12-30 00:00:00,130,142,1483056000.0
2016-12-30 06:00:00,353,381,1483077600.0
2016-12-30 12:00:00,515,584,1483099200.0
2016-12-30 18:00:00,460,510,1483120800.0
2016-12-31 00:00:00,158,183,1483142400.0
2016-12-31 06:00:00,271,296,1483164000.0
2016-12-31 12:00:00,515,587,1483185600.0
2016-12-31 18:00:00,492,577,1483207200.0
2017-01-01 00:00:00,392,479,1483228800.0
2017-01-01 06:00:00,130,150,1483250400.0
2017-01-01 12:00:00,364,419,1483272000.0
2017-01-01 18:00:00,362,408,1483293600.0
2017-01-02 00:00:00,76,92,1483315200.0
2017-01-02 06:00:00,291,330,1483336800.0
2017-01-02 12:00:00,479,537,1483358400.0
2017-01-02 18:00:00,371,423,1483380000.0
2017-01-03 00:00:00,91,106,1483401600.0
2017-01-03 06:00:00,293,324,1483423200.0
2017-01-03 12:00:00,430,486,1483444800.0
2017-01-03 18:00:00,403,455,1483466400.0
2017-01-04 00:00:00,100,115,1483488000.0
2017-01-04 06:00:00,301,341,1483509600.0
2017-01-04 12:00:00,478,529,1483531200.0
2017-01-04 18:00:00,388,436,1483552800.0
2017-01-05 00:00:00,111,129,1483574400.0
2017-01-05 06:00:00,318,363,1483596000.0
2017-01-05 12:00:00,484,531,1483617600.0
2017-01-05 18:00:00,501,561,1483639200.0
2017-01-06 00:00:00,188,211,1483660800.0
2017-01-06 06:00:00,243,290,1483682400.0
2017-01-06 12:00:00,477,552,1483704000.0
2017-01-06 18:00:00,475,540,1483725600.0
2017-01-07 00:00:00,159,192,1483747200.0
2017-01-07 06:00:00,263,295,1483768800.0
2017-01-07 12:00:00,494,562,1483790400.0
2017-01-07 18:00:00,464,539,1483812000.0
2017-01-08 00:00:00,219,261,1483833600.0
2017-01-08 06:00:00,227,255,1483855200.0
2017-01-08 12:00:00,484,546,1483876800.0
2017-01-08 18:00:00,457,510,1483898400.0
2017-01-09 00:00:00,122,145,1483920000.0
2017-01-09 06:00:00,460,533,1483941600.0
2017-01-09 12:00:00,499,559,1483963200.0
2017-01-09 18:00:00,645,746,1483984800.0
2017-01-10 00:00:00,99,114,1484006400.0
2017-01-10 06:00:00,459,521,1484028000.0
2017-01-10 12:00:00,233,248,1484049600.0
2017-01-10 18:00:00,285,327,1484071200.0
2017-01-11 00:00:00,103,122,1484092800.0
2017-01-11 06:00:00,498,556,1484114400.0
2017-01-11 12:00:00,555,620,1484136000.0
2017-01-11 18:00:00,516,607,1484157600.0
2017-01-12 00:00:00,102,120,1484179200.0
2017-01-12 06:00:00,511,589,1484200800.0
2017-01-12 12:00:00,590,673,1484222400.0
2017-01-12 18:00:00,444,533,1484244000.0
2017-01-13 00:00:00,111,126,1484265600.0
2017-01-13 06:00:00,537,600,1484287200.0
2017-01-13 12:00:00,553,658,1484308800.0
2017-01-13 18:00:00,578,681,1484330400.0
2017-01-14 00:00:00,176,217,1484352000.0
2017-01-14 06:00:00,421,485,1484373600.0
2017-01-14 12:00:00,578,647,1484395200.0
2017-01-14 18:00:00,577,675,1484416800.0
2017-01-15 00:00:00,247,285,1484438400.0
2017-01-15 06:00:00,297,338,1484460000.0
2017-01-15 12:00:00,491,541,1484481600.0
2017-01-15 18:00:00,447,496,1484503200.0
2017-01-16 00:00:00,122,133,1484524800.0
2017-01-16 06:00:00,461,530,1484546400.0
2017-01-16 12:00:00,492,561,1484568000.0
2017-01-16 18:00:00,502,552,1484589600.0
2017-01-17 00:00:00,105,127,1484611200.0
2017-01-17 06:00:00,502,555,1484632800.0
2017-01-17 12:00:00,642,710,1484654400.0
2017-01-17 18:00:00,512,583,1484676000.0
2017-01-18 00:00:00,106,118,1484697600.0
2017-01-18 06:00:00,534,602,1484719200.0
2017-01-18 12:00:00,579,642,1484740800.0
2017-01-18 18:00:00,552,610,1484762400.0
2017-01-19 00:00:00,107,119,1484784000.0
2017-01-19 06:00:00,534,607,1484805600.0
2017-01-19 12:00:00,596,674,1484827200.0
2017-01-19 18:00:00,591,652,1484848800.0
2017-01-20 00:00:00,113,138,1484870400.0
2017-01-20 06:00:00,542,607,1484892000.0
2017-01-20 12:00:00,683,745,1484913600.0
2017-01-20 18:00:00,682,752,1484935200.0
2017-01-21 00:00:00,217,253,1484956800.0
2017-01-21 06:00:00,450,492,1484978400.0
2017-01-21 12:00:00,637,717,1485000000.0
2017-01-21 18:00:00,673,760,1485021600.0
2017-01-22 00:00:00,272,335,1485043200.0
2017-01-22 06:00:00,279,305,1485064800.0
2017-01-22 12:00:00,547,606,1485086400.0
2017-01-22 18:00:00,523,584,1485108000.0
2017-01-23 00:00:00,159,174,1485129600.0
2017-01-23 06:00:00,691,760,1485151200.0
2017-01-23 12:00:00,748,845,1485172800.0
2017-01-23 18:00:00,712,769,1485194400.0
2017-01-24 00:00:00,106,124,1485216000.0
2017-01-24 06:00:00,529,631,1485237600.0
2017-01-24 12:00:00,0,0,1485259200.0
2017-01-24 18:00:00,0,0,1485280800.0
2017-01-25 00:00:00,0,0,1485302400.0
2017-01-25 06:00:00,150,174,1485324000.0
2017-01-25 12:00:00,614,687,1485345600.0
2017-01-25 18:00:00,548,634,1485367200.0
2017-01-26 00:00:00,129,145,1485388800.0
2017-01-26 06:00:00,589,640,1485410400.0
2017-01-26 12:00:00,614,692,1485432000.0
2017-01-26 18:00:00,601,701,1485453600.0
2017-01-27 00:00:00,134,153,1485475200.0
2017-01-27 06:00:00,606,666,1485496800.0
2017-01-27 12:00:00,667,734,1485518400.0
2017-01-27 18:00:00,722,830,1485540000.0
2017-01-28 00:00:00,222,259,1485561600.0
2017-01-28 06:00:00,492,542,1485583200.0
2017-01-28 12:00:00,580,649,1485604800.0
2017-01-28 18:00:00,601,686,1485626400.0
2017-01-29 00:00:00,226,281,1485648000.0
2017-01-29 06:00:00,337,383,1485669600.0
2017-01-29 12:00:00,525,625,1485691200.0
2017-01-29 18:00:00,449,510,1485712800.0
2017-01-30 00:00:00,107,112,1485734400.0
2017-01-30 06:00:00,497,562,1485756000.0
2017-01-30 12:00:00,82,92,1485777600.0
